Sno,Name (Party),Total Assets in Lok Sabha 2009,Total Assets in Lok Sabha 2004,Asset Increase,% Increase in Asset,Remarks
89,SUKDEO PASWAN (IND),"2,02,16,435 2 Crore+","59,34,736 59 Lacs+","1,42,81,699 1 Crore+",241%,"PAN is Different Party in last election was BJP bad_scan for movable asset in Lok Sabha 2009, bad_scan for immovable asset in Lok Sabha 2009,"
90,RAM SINGH KASWAN (BJP),"2,74,03,097 2 Crore+","1,31,98,438 1 Crore+","1,42,04,659 1 Crore+",108%,
91,BIJOY KRISHNA HANDIQUE (INC),"1,54,28,123 1 Crore+","13,56,192 13 Lacs+","1,40,71,931 1 Crore+",1038%,Age Difference=8
92,K. CHANDRASEKHARA RAO (TRS),"2,26,69,420 2 Crore+","85,98,858 85 Lacs+","1,40,70,562 1 Crore+",164%,
93,MOORTHY A K (PMK),"1,76,42,595 1 Crore+","36,96,741 36 Lacs+","1,39,45,854 1 Crore+",377%,
94,ASHOK KUMAR PRADHAN (BJP),"2,52,63,357 2 Crore+","1,15,89,733 1 Crore+","1,36,73,624 1 Crore+",118%,Age Difference=2 PAN was missing last time
95,JASWANT SINGH (BJP),"2,03,80,026 2 Crore+","69,93,029 69 Lacs+","1,33,86,997 1 Crore+",191%,
96,SANDEEP DIKSHIT (INC),"1,81,46,428 1 Crore+","47,64,901 47 Lacs+","1,33,81,527 1 Crore+",281%,
97,ARVIND KUMAR SHARMA (INC),"1,90,71,256 1 Crore+","57,36,332 57 Lacs+","1,33,34,924 1 Crore+",232%,
98,RAMJI LAL SUMAN (SP),"1,75,16,869 1 Crore+","42,35,985 42 Lacs+","1,32,80,884 1 Crore+",314%,PAN was missing last time
99,TAPIR GAO (BJP),"1,85,20,000 1 Crore+","55,16,640 55 Lacs+","1,30,03,360 1 Crore+",236%,
100,RAM CHANDRA PASWAN (LJP),"1,69,76,258 1 Crore+","42,04,913 42 Lacs+","1,27,71,345 1 Crore+",304%,Party in last election was LJNSP
101,PROF. S.P. SINGH BAGHEL (BSP),"1,82,81,086 1 Crore+","56,23,000 56 Lacs+","1,26,58,086 1 Crore+",225%,PAN is Different Party in last election was SP
102,P.Karunakaran (CPM),"1,78,23,645 1 Crore+","51,90,249 51 Lacs+","1,26,33,396 1 Crore+",243%,PAN is missing this time
103,KIRTI VARDHAN SINGH RAJA BAIYA (BSP),"2,09,57,984 2 Crore+","86,00,704 86 Lacs+","1,23,57,280 1 Crore+",144%,Party in last election was SP
104,INDERJIT SINGH (INC),"6,73,83,257 6 Crore+","5,51,05,874 5 Crore+","1,22,77,383 1 Crore+",22%,
105,MOHD. MUQUEEM (BSP),"1,71,50,000 1 Crore+","49,02,000 49 Lacs+","1,22,48,000 1 Crore+",250%,PAN was missing last time
106,SUGAVANAM. E.G. (DMK),"1,69,74,157 1 Crore+","51,21,291 51 Lacs+","1,18,52,866 1 Crore+",231%,PAN was missing last time
107,PRANAB MUKHERJEE (INC),"2,69,20,479 2 Crore+","1,52,04,925 1 Crore+","1,17,15,554 1 Crore+",77%,
108,CHANDRA PRATAP SINGH (BABA SAHAB) (SP),"1,24,64,922 1 Crore+","7,95,619 7 Lacs+","1,16,69,303 1 Crore+",1467%,PAN was missing last time Party in last election was BJP
109,SRI PRAKASH JAISWAL (INC),"3,07,67,980 3 Crore+","1,91,27,260 1 Crore+","1,16,40,720 1 Crore+",61%,
110,BHAVANA GAWALI (PATIL) (SHS),"3,03,99,471 3 Crore+","1,88,08,750 1 Crore+","1,15,90,721 1 Crore+",62%,Age Difference=7
111,GADAKH TUKARAM GANGADHAR (BSP),"3,49,51,273 3 Crore+","2,34,46,680 2 Crore+","1,15,04,593 1 Crore+",49%,Party in last election was NCP
112,SHAILENDRA KUMAR (SP),"2,08,00,327 2 Crore+","93,37,424 93 Lacs+","1,14,62,903 1 Crore+",123%,PAN was missing last time
113,GADDIGOUDAR P C (BJP),"1,67,62,000 1 Crore+","53,75,000 53 Lacs+","1,13,87,000 1 Crore+",212%,PAN was missing last time
114,Jual Oram (BJP),"1,70,11,470 1 Crore+","57,46,675 57 Lacs+","1,12,64,795 1 Crore+",196%,
115,Rameshwar Oraon (INC),"2,04,83,097 2 Crore+","92,38,423 92 Lacs+","1,12,44,674 1 Crore+",122%,PAN was missing last time
116,PANABAKA LAKSHMI (INC),"1,66,35,386 1 Crore+","53,95,726 53 Lacs+","1,12,39,660 1 Crore+",208%,
117,PARAS NATH YADAVA (SP),"1,38,74,968 1 Crore+","29,41,300 29 Lacs+","1,09,33,668 1 Crore+",372%,Age Difference=-3
118,MULAYAM SINGH YADAV (SP),"2,23,99,320 2 Crore+","1,15,41,224 1 Crore+","1,08,58,096 1 Crore+",94%,
119,VIKRAMBHAI ARJANBHAI MADAM (INC),"1,55,90,109 1 Crore+","48,37,028 48 Lacs+","1,07,53,081 1 Crore+",222%,Age Difference=3
120,MOHD.TAHIR (BSP),"1,08,39,346 1 Crore+","1,16,697 1 Lacs+","1,07,22,649 1 Crore+",9188%,PAN was missing last time
121,ADHIR RANJAN CHOWDHURY (INC),"2,99,43,557 2 Crore+","1,93,95,174 1 Crore+","1,05,48,383 1 Crore+",54%,
122,PRENEET KAUR (INC),"42,30,43,438 42 Crore+","41,28,67,297 41 Crore+","1,01,76,141 1 Crore+",2%,PAN is Different
123,SURESH PRABHAKAR PRABHU (SHS),"1,46,50,806 1 Crore+","45,20,169 45 Lacs+","1,01,30,637 1 Crore+",224%,
124,SUBHASH MAHARIA (BJP),"2,33,83,778 2 Crore+","1,32,67,020 1 Crore+","1,01,16,758 1 Crore+",76%,
125,AJAY MAKAN (INC),"4,01,48,040 4 Crore+","3,02,34,158 3 Crore+","99,13,882 99 Lacs+",33%,
126,NARANBHAI JEMLABHAI RATHWA (INC),"1,27,02,727 1 Crore+","27,93,000 27 Lacs+","99,09,727 99 Lacs+",355%,
127,DHANARAJU K (PMK),"1,25,31,131 1 Crore+","26,58,860 26 Lacs+","98,72,271 98 Lacs+",371%,
128,D.V.Sadananda Gowda (BJP),"1,43,75,959 1 Crore+","46,39,359 46 Lacs+","97,36,600 97 Lacs+",210%,
129,CHARANJIT SINGH ATWAL (SAD),"2,61,44,663 2 Crore+","1,64,69,765 1 Crore+","96,74,898 96 Lacs+",59%,
130,USHA VERMA (SP),"1,01,11,699 1 Crore+","9,76,000 9 Lacs+","91,35,699 91 Lacs+",936%,
131,SHINGADA DAMODAR BARKU (INC),"1,77,83,482 1 Crore+","86,57,109 86 Lacs+","91,26,373 91 Lacs+",105%,
132,ANANTHA VENKATA RAMI REDDY (INC),"1,30,15,000 1 Crore+","38,90,000 38 Lacs+","91,25,000 91 Lacs+",235%,PAN is Different
133,SURESH GANPATRAO WAGHMARE (BJP),"95,65,000 95 Lacs+","4,41,000 4 Lacs+","91,24,000 91 Lacs+",2069%,
134,SARVEY SATYANARAYANA (INC),"1,01,12,521 1 Crore+","11,10,000 11 Lacs+","90,02,521 90 Lacs+",811%,PAN is Different
135,HEMLAL MURMU (JMM),"1,06,80,606 1 Crore+","16,80,400 16 Lacs+","90,00,206 90 Lacs+",536%,Age Difference=2
136,CHANDRA BHUSAN SINGH (SP),"1,85,76,589 1 Crore+","95,94,069 95 Lacs+","89,82,520 89 Lacs+",94%,Age Difference=13
137,VELU R (PMK),"1,34,37,568 1 Crore+","46,10,868 46 Lacs+","88,26,700 88 Lacs+",191%,PAN is Different
138,JAI PRAKESH NARAIN YADAV (RJD),"1,06,02,450 1 Crore+","18,80,178 18 Lacs+","87,22,272 87 Lacs+",464%,Age Difference=1 PAN was missing last time
139,RAJA A (DMK),"1,42,51,669 1 Crore+","57,59,538 57 Lacs+","84,92,131 84 Lacs+",147%,
140,H. D. Devegowda (JD(S)),"1,96,24,664 1 Crore+","1,14,39,574 1 Crore+","81,85,090 81 Lacs+",72%,PAN is Different
141,AJAY CHAKRABORTY (CPI),"1,53,89,448 1 Crore+","72,18,672 72 Lacs+","81,70,776 81 Lacs+",113%,
142,KAVURI SAMBASIVA RAO (INC),"12,60,50,111 12 Crore+","11,78,98,221 11 Crore+","81,51,890 81 Lacs+",7%,
143,Baliram Kashyap (BJP),"99,48,590 99 Lacs+","18,65,382 18 Lacs+","80,83,208 80 Lacs+",433%,
144,KISHAN SINGH SANGWAN (BJP),"1,57,46,702 1 Crore+","77,77,238 77 Lacs+","79,69,464 79 Lacs+",102%,
145,TEKLAL MAHTO (JMM),"85,50,119 85 Lacs+","6,25,000 6 Lacs+","79,25,119 79 Lacs+",1268%,PAN was missing last time
146,HARISING RATHOD (INC),"1,15,12,482 1 Crore+","38,01,000 38 Lacs+","77,11,482 77 Lacs+",203%,PAN was missing last time Party in last election was BJP
147,PARAMJIT KAUR GULSHAN (SAD),"1,42,08,609 1 Crore+","65,07,661 65 Lacs+","77,00,948 77 Lacs+",118%,
148,DHANI RAM SHANDIL (INC),"1,68,85,300 1 Crore+","92,72,958 92 Lacs+","76,12,342 76 Lacs+",82%,
149,RAGHURAJ SINGH SHAKYA (SP),"94,34,570 94 Lacs+","19,24,170 19 Lacs+","75,10,400 75 Lacs+",390%,Age Difference=7 PAN is Different
150,SHANKARSINH LAXMANSINH VAGHELA (INC),"1,44,45,010 1 Crore+","70,04,174 70 Lacs+","74,40,836 74 Lacs+",106%,PAN is Different
151,JASUBHAI DHANABHAI BARAD (INC),"2,56,78,358 2 Crore+","1,84,57,408 1 Crore+","72,20,950 72 Lacs+",39%,PAN was missing last time
152,RAMAKANT YADAV (BJP),"2,44,94,000 2 Crore+","1,73,58,777 1 Crore+","71,35,223 71 Lacs+",41%,PAN was missing last time Party in last election was BSP
153,ANIRUDH PRASAD ALIAS SADHU YADAV (INC),"1,23,10,143 1 Crore+","52,34,219 52 Lacs+","70,75,924 70 Lacs+",135%,Age Difference=2 Party in last election was RJD
154,FAGGAN SINGH KULASTE (BJP),"1,01,64,370 1 Crore+","30,91,035 30 Lacs+","70,73,335 70 Lacs+",229%,Age Difference=7
155,DHOTRE SANJAY SHAMRAO (BJP),"1,93,35,144 1 Crore+","1,22,89,645 1 Crore+","70,45,499 70 Lacs+",57%,
156,Sri Chandra Sekhar Sahu (INC),"82,16,047 82 Lacs+","14,19,000 14 Lacs+","67,97,047 67 Lacs+",479%,
157,CHANDRPAL SINGH YADAV (SP),"1,20,91,752 1 Crore+","53,07,820 53 Lacs+","67,83,932 67 Lacs+",128%,Age Difference=2
158,SUKHDEV SINGH (INC),"1,70,83,247 1 Crore+","1,03,32,944 1 Crore+","67,50,303 67 Lacs+",65%,PAN was missing last time Party in last election was SAD
159,Pralhad Joshi (BJP),"1,44,12,674 1 Crore+","77,60,188 77 Lacs+","66,52,486 66 Lacs+",86%,
160,RAJEN GOHAIN (BJP),"1,02,10,891 1 Crore+","36,79,236 36 Lacs+","65,31,655 65 Lacs+",178%,
161,Jigajinagi Ramesh Chandappa (BJP),"1,17,53,725 1 Crore+","54,80,600 54 Lacs+","62,73,125 62 Lacs+",114%,PAN was missing last time
162,Sohan Potai (BJP),"82,61,296 82 Lacs+","21,13,856 21 Lacs+","61,47,440 61 Lacs+",291%,Age Difference=2
163,DR. SHAFIQUR RAHMAN BARQ (BSP),"70,59,763 70 Lacs+","13,49,151 13 Lacs+","57,10,612 57 Lacs+",423%,PAN was missing last time Party in last election was SP
164,RAGHUNATH JHA (RJD),"1,69,64,767 1 Crore+","1,12,67,189 1 Crore+","56,97,578 56 Lacs+",51%,Age Difference=-3 PAN is Different
165,MADAN LAL SHARMA (INC),"1,18,82,734 1 Crore+","62,17,000 62 Lacs+","56,65,734 56 Lacs+",91%,PAN was missing last time
166,HANNAN MOLLAH (CPM),"62,08,199 62 Lacs+","6,21,879 6 Lacs+","55,86,320 55 Lacs+",898%,
167,AHIR HANSARAJ GANGARAM (BJP),"80,84,050 80 Lacs+","26,53,960 26 Lacs+","54,30,090 54 Lacs+",205%,
168,Asaduddin Owaisi (AIMIM),"93,02,233 93 Lacs+","39,02,342 39 Lacs+","53,99,891 53 Lacs+",138%,PAN is Different
169,SHRIPAD YESSO NAIK (BJP),"98,97,462 98 Lacs+","45,37,329 45 Lacs+","53,60,133 53 Lacs+",118%,
170,MD. SALIM (CPM),"84,56,467 84 Lacs+","31,09,485 31 Lacs+","53,46,982 53 Lacs+",172%,PAN was missing last time
171,MUTTEMWAR VILASRAO BABURAOJI (INC),"1,53,02,294 1 Crore+","1,00,20,540 1 Crore+","52,81,754 52 Lacs+",53%,
172,SONIA GANDHI (INC),"1,37,94,768 1 Crore+","85,68,694 85 Lacs+","52,26,074 52 Lacs+",61%,
173,Ananthkumar Hegde (BJP),"64,27,192 64 Lacs+","12,06,000 12 Lacs+","52,21,192 52 Lacs+",433%,
174,CHAVAN HARISHCHANDRA DEORAM (BJP),"85,15,581 85 Lacs+","33,12,291 33 Lacs+","52,03,290 52 Lacs+",157%,
175,MANVENDRA SINGH (BJP),"98,10,062 98 Lacs+","46,56,839 46 Lacs+","51,53,223 51 Lacs+",111%,
176,NANDKUMAR SING CHAUHAN NANDU BHAIYA (BJP),"95,56,053 95 Lacs+","45,10,192 45 Lacs+","50,45,861 50 Lacs+",112%,Age Difference=9
177,DAROGA PRASAD SAROJ (SP),"55,73,553 55 Lacs+","6,14,485 6 Lacs+","49,59,068 49 Lacs+",807%,
178,GANESH SINGH (BJP),"73,72,032 73 Lacs+","25,48,143 25 Lacs+","48,23,889 48 Lacs+",189%,PAN was missing last time
179,CHANDRAKANT KHAIRE (SHS),"1,41,51,539 1 Crore+","93,33,773 93 Lacs+","48,17,766 48 Lacs+",52%,PAN was missing last time
180,ASHOK KUMAR RAWAT (BSP),"62,21,049 62 Lacs+","14,19,108 14 Lacs+","48,01,941 48 Lacs+",338%,
181,ASHOK ARGAL (BJP),"79,72,241 79 Lacs+","32,20,504 32 Lacs+","47,51,737 47 Lacs+",148%,
182,SITARAM YADAV (RJD),"94,40,339 94 Lacs+","48,05,008 48 Lacs+","46,35,331 46 Lacs+",96%,
183,BHUVNESHWAR PRASAD MEHTA (CPI),"55,39,578 55 Lacs+","9,70,342 9 Lacs+","45,69,236 45 Lacs+",471%,PAN was missing last time
184,MADHUSUDAN DEVRAM MISTRY (INC),"63,06,522 63 Lacs+","18,26,173 18 Lacs+","44,80,349 44 Lacs+",245%,
185,SHIBU SOREN (JMM),"82,29,419 82 Lacs+","37,76,022 37 Lacs+","44,53,397 44 Lacs+",118%,
