,Constituency,Party,Total_Expenses,Name_of_Member,State,Attendance_days,Criminal_Cases,Education,Total_Assets,Liabilities,ratio_ex_as,attendance
160,Jaipur,INC,1428014,Shri  Mahesh  Joshi                                             ,Rajasthan                                                   ,26,0,Doctorate,10388500,1245000,0.137461039,1
64,Bhadrak,BJD,1537869,Shri  Arjun Charan  Sethi                                             ,Orissa                                                      ,26,0,Post Graduate,11061000,2500000,0.139035259,1
366,Viluppuram,ADMK,1249460,Shri  M.  Anandan                                           ,Tamil Nadu                                                  ,26,0,12th Pass,8938646,967994,0.139781797,1
298,Sabarkantha,BJP,1434547,Shri  Chauhan  Mahendrasinh                                      ,Gujarat                                                     ,26,0,Graduate Professional,8842370,161190,0.162235577,1
51,Bardhaman Purba,CPM,1249177,Dr.  Anup Kumar  Saha                                              ,West Bengal                                                 ,26,0,Post Graduate,7472944,0,0.167159957,1
215,Kottayam,KEC(M),1678839,Shri  Jose K.  Mani                                              ,Kerala                                                      ,26,0,Post Graduate,9651729,0,0.173941788,1
95,Dahod,INC,1494431,Dr.  Prabha Kishore  Taviad                                            ,Gujarat                                                     ,26,0,Graduate Professional,6823687,0,0.219006382,1
159,Jagatsinghpur,CPI,987132,Shri  Bibhu Prasad  Tarai                                             ,Orissa                                                      ,26,0,Post Graduate,4460251,43000,0.22131759,1
318,Sidhi,BJP,1211086,Shri  Govind Prasad  Mishra                                            ,Madhya Pradesh                                              ,26,0,Graduate Professional,5187425,0,0.233465737,1
261,Nalanda,JD(U),1956675,Shri  Kaushalendra  Kumar                                             ,Bihar                                                       ,26,0,12th Pass,7133058,227065,0.274310822,1
116,Faizabad,INC,1972135,Dr.  Nirmal  Khatri                                            ,Uttar Pradesh                                               ,26,0,Doctorate,6670000,5771,0.295672414,1
174,Jhargram,CPM,502811,Shri  Pulin Bihari  Baske                                             ,West Bengal                                                 ,26,0,Graduate Professional,1484298,0,0.338753404,1
62,Berhampur,BJD,1649751,Shri  Sidhant  Mohapatra                                         ,Orissa                                                      ,26,0,Post Graduate,4828474,118884,0.341671302,1
125,Ghatal,CPI,1262689,Shri  Gurudas  Das Gupta                                         ,West Bengal                                                 ,26,0,Post Graduate,3654001,0,0.345563397,1
204,Kheri,INC,1380047,Shri  Zafar Ali  Naqvi                                             ,Uttar Pradesh                                               ,26,0,Graduate Professional,3979881,0,0.346755845,1
344,Tiruchirappalli,ADMK,2004991,Shri  P.  Kumar                                             ,Tamil Nadu                                                  ,26,0,Graduate Professional,5345000,806395,0.375115248,1
75,Bikaner,BJP,1003168,Shri  Arjun Ram  Meghwal                                           ,Rajasthan                                                   ,26,0,Post Graduate,2563467,0,0.39133252,1
54,Bargarh,INC,673444,Shri  Sanjay  Bhoi                                              ,Orissa                                                      ,26,0,Graduate,1700000,0,0.396143529,1
367,Warangal,INC,1714478,Shri  Rajaiah  Siricilla                                         ,Andhra Pradesh                                              ,26,0,Graduate,4224704,1461167,0.405822041,1
268,Outer Manipur,INC,723242,Shri  Thangso  Baite                                             ,Manipur                                                     ,26,0,Post Graduate,1778418,880000,0.40667717,1
269,Palghar,BVA,1069653,Shri   Baliram  Jadhav                                          ,Maharashtra                                                 ,26,0,8th Pass,2399053,0,0.445864681,1
154,Idukki,INC,2025249,Adv.  P. T.  Thomas                                            ,Kerala                                                      ,26,0,Post Graduate,3984094,448284,0.508333639,1
245,Medinipur,CPI,1161022,Shri  Prabodh  Panda                                             ,West Bengal                                                 ,26,0,Graduate,2230746,362156,0.520463558,1
246,Meerut,BJP,1302914,Shri  Rajendra  Agarwal                                           ,Uttar Pradesh                                               ,26,0,Post Graduate,2121825,315620,0.614053468,1
343,Tikamgarh,BJP,1639677,Shri    Virendra Kumar                                    ,Madhya Pradesh                                              ,26,0,Doctorate,2551466,0,0.642641133,1
156,Inner Manipur,INC,1389610,Dr.  Thokchom  Meinya                                            ,Manipur                                                     ,26,0,Doctorate,1639200,0,0.847736701,1
10,Almora,INC,1941954,Shri  Pradeep  Tamta                                             ,Uttarakhand                                                 ,26,0,Post Graduate,1590000,0,1.221354717,1
336,Tenkasi,CPI,1865365,Shri  P.  Lingam                                            ,Tamil Nadu                                                  ,26,0,Graduate,159365,23014,11.70498541,1
83,Chalakudy,INC,1253299,Shri  K. P.  Dhanapalan                                        ,Kerala                                                      ,26,1,Graduate,2954364,0,0.424219561,1
38,Bahraich,INC,1739339,Shri  Kamal  Kishor   Commando                                 ,Uttar Pradesh                                               ,26,1,Graduate,1373495,0,1.266359907,1
338,Thane,NCP,2104048,Dr.  Sanjeev Ganesh  Naik                                              ,Maharashtra                                                 ,26,2,12th Pass,30415344,0,0.069177189,1
164,Jalaun,SP,1919879,Shri  Ghanshyam  Anuragi                                           ,Uttar Pradesh                                               ,26,2,Post Graduate,6350833,0,0.302303493,1
265,Navsari,BJP,1702229,Shri  C. R.  Patil                                             ,Gujarat                                                     ,26,6,10th Pass,242083697,42208512,0.007031572,1
84,Chandauli,SP,2295434,Shri    Ramkishun                                         ,Uttar Pradesh                                               ,26,10,Graduate Professional,4672785,0,0.491234671,1
102,Dhenkanal,BJD,1369664,Shri  Tathagata  Satpathy                                          ,Orissa                                                      ,26,13,12th Pass,5515930,0,0.24831062,1
214,Kota,INC,1470786,Shri  Ijyaraj  Singh                                             ,Rajasthan                                                   ,25,0,Post Graduate,180131144,0,0.008165084,0.961538462
127,Godda,BJP,1193250,Shri  Nishikant  Dubey                                             ,Jharkhand                                                   ,25,0,Post Graduate,101037987,0,0.011809915,0.961538462
165,Jalgaon,BJP,1474623,Shri  A.T. Nana  Patil                                             ,Maharashtra                                                 ,25,0,Graduate,103839607,9200000,0.014200969,0.961538462
123,Garhwal,INC,1725916,Shri  Satpal  Maharaj                                           ,Uttarakhand                                                 ,25,0,12th Pass,112136795,0,0.015391166,0.961538462
351,Tumkur,BJP,967068,Shri  G.S.  Basavaraj                                         ,Karnataka                                                   ,25,0,Graduate Professional,54382029,8761621,0.01778286,0.961538462
22,Arani,INC,1741985,Shri  M.  Krishnaswamy                                      ,Tamil Nadu                                                  ,25,0,Graduate Professional,62385765,16792067,0.027922796,0.961538462
257,Nagaur,INC,1273931,Dr.  Jyoti  Mirdha                                            ,Rajasthan                                                   ,25,0,Graduate Professional,39039915,0,0.0326315,0.961538462
326,South Goa,INC,1030814,Shri  Francisco  Sardinha                                          ,Goa                                                         ,25,0,Graduate Professional,29473470,443500,0.034974301,0.961538462
299,Saharanpur,BSP,946500,Shri  Jagdish Singh  Rana                                              ,Uttar Pradesh                                               ,25,0,Graduate,18867277,298187,0.050166222,0.961538462
345,Tirunelveli,INC,2012739,Shri  S. S.  Ramasubbu                                         ,Tamil Nadu                                                  ,25,0,Post Graduate,34706447,1807386,0.057993231,0.961538462
39,Ballia,SP,1707194,Shri  Neeraj  Shekhar                                           ,Uttar Pradesh                                               ,25,0,Graduate,27718262,15100000,0.061590947,0.961538462
186,Kangra,BJP,818572,Dr.  Rajan  Sushant                                           ,Himachal Pradesh                                            ,25,0,Graduate Professional,11024873,2488285,0.074247749,0.961538462
9,Allahabad,SP,1481601,Kunwar  Rewati Raman  Singh                                             ,Uttar Pradesh                                               ,25,0,Graduate Professional,18640164,226475,0.079484333,0.961538462
112,East Delhi,INC,1497619,Shri  Sandeep  Dikshit                                           ,Delhi                                                       ,25,0,Post Graduate,18146428,1980887,0.082529686,0.961538462
259,Nagpur,INC,1740208,Shri  Vilasrao Baburao  Muttemwar                                         ,Maharashtra                                                 ,25,0,Graduate,15302294,2756726,0.113722034,0.961538462
56,Barpeta,INC,1970626,Shri  Ismail Hussain  ,Assam                                                       ,25,0,Post Graduate,9931726,0,0.198417274,0.961538462
222,Lalganj,BSP,1786846,Dr.    Bali Ram                                          ,Uttar Pradesh                                               ,25,0,Doctorate,8003036,638922,0.223271019,0.961538462
353,Udaipur,INC,1566128,Shri  Raghuvir Singh  Meena                                             ,Rajasthan                                                   ,25,0,Graduate,6753883,1750000,0.231885569,0.961538462
227,Machhlishahr,SP,1351016,Shri  Tufani  Saroj                                             ,Uttar Pradesh                                               ,25,0,Graduate,5336133,0,0.253182595,0.961538462
303,Sambhal,BSP,1879685,Dr.  Shafiqur Rahman  Barq                                              ,Uttar Pradesh                                               ,25,0,Graduate,7059763,0,0.266253272,0.961538462
55,Barmer,INC,1629533,Shri  Harish  Choudhary                                         ,Rajasthan                                                   ,25,0,Graduate,4953849,1295812,0.328942808,0.961538462
122,Ganganagar,INC,1893356,Shri  Bharat Ram  Meghwal                                           ,Rajasthan                                                   ,25,0,Graduate Professional,5016000,400000,0.377463317,0.961538462
45,Bankura,CPM,1320108,Shri  Basudeb  Acharia                                           ,West Bengal                                                 ,25,0,Post Graduate,3249037,0,0.406307469,0.961538462
171,Jamui,JD(U),1795831,Shri  Bhudeo  Choudhary                                         ,Bihar                                                       ,25,0,Graduate Professional,4079000,289192,0.440262564,0.961538462
287,Rajgarh,INC,2090485,Shri  Narayan Singh  Amlabe                                            ,Madhya Pradesh                                              ,25,0,12th Pass,3808133,161617,0.548952728,0.961538462
52,Bardhaman-Durgapur,CPM,1552329,Sk.   Saidul  Haque                                             ,West Bengal                                                 ,25,0,Post Graduate,2414520,128172,0.64291412,0.961538462
77,Bishnupur,CPM,1306006,Smt.  Susmita  Bauri                                             ,West Bengal                                                 ,25,0,Graduate Professional,1078000,174660,1.211508349,0.961538462
53,Bareilly,INC,1131425,Shri  Praveen Singh  Aron                                              ,Uttar Pradesh                                               ,25,1,Graduate Professional,288019293,32622036,0.003928296,0.961538462
357,Unnao,INC,1660262,Smt.  Annu  Tandon                                            ,Uttar Pradesh                                               ,25,1,Graduate,421352753,0,0.003940314,0.961538462
363,Varanasi,BJP,1866940,Dr.  Murli Manohar  Joshi                                             ,Uttar Pradesh                                               ,25,1,Doctorate,54475345,0,0.034271284,0.961538462
195,Karur,ADMK,515575,Dr.  M.  Thambidurai                                       ,Tamil Nadu                                                  ,25,2,Doctorate,93750227,0,0.005499453,0.961538462
179,Kaiserganj,SP,2318057,Shri  Brij Bhushan Sharan  Singh                                             ,Uttar Pradesh                                               ,25,2,Graduate Professional,53537885,0,0.043297508,0.961538462
231,Maharajganj,INC,1045822,Shri  Uma Shanaker  Singh                                             ,Bihar                                                       ,25,2,10th Pass,10145601,450000,0.103081326,0.961538462
13,Ambedkar Nagar,BSP,1298878,Shri  Rakesh  Pandey                                            ,Uttar Pradesh                                               ,25,3,8th Pass,164078904,0,0.007916179,0.961538462
191,Karakat,JD(U),1083892,Shri  Mahabali  Singh                                             ,Bihar                                                       ,25,3,8th Pass,6194257,0,0.174983376,0.961538462
180,Kalahandi,INC,1438107,Shri  Bhakta Charan  Das                                               ,Orissa                                                      ,25,4,Graduate Professional,5582100,2061217,0.257628312,0.961538462
119,Fatehpur,SP,2293831,Shri  Rakesh  Sachan                                            ,Uttar Pradesh                                               ,25,7,Post Graduate,40955595,0,0.056007757,0.961538462
266,Nizamabad,INC,1376003,Shri  Madhu Goud  Yaskhi                                            ,Andhra Pradesh                                              ,24,0,Post Graduate,119108338,15422084,0.011552533,0.923076923
189,Kanniyakumari,DMK,870980,Smt.  J. Helen Davidson  ,Tamil Nadu                                                  ,24,0,Post Graduate,48455728,2123538,0.017974758,0.923076923
136,Hamirpur,BJP,1217050,Shri  Anurag Singh  Thakur                                            ,Himachal Pradesh                                            ,24,0,Graduate Professional,42956873,623689,0.028331904,0.923076923
140,Hamirpur,BSP,1692822,Shri  Anurag Singh  Thakur                                            ,Himachal Pradesh                                            ,24,0,Graduate Professional,42956873,623689,0.039407477,0.923076923
100,Dewas,INC,1068001,Shri  Sajjan Singh  Verma                                             ,Madhya Pradesh                                              ,24,0,Post Graduate,27042325,1104525,0.039493683,0.923076923
137,Hamirpur,BJP,1217050,Shri  Anurag Singh  Thakur                                            ,Himachal Pradesh                                            ,24,0,Graduate,24150103,2504550,0.05039523,0.923076923
2,Ahmedabad West,BJP,1453464,Dr.  Kiritbhai  Premajibhai    Solanki                            ,Gujarat                                                     ,24,0,Graduate Professional,26122439,709488,0.05564044,0.923076923
249,Mohanlalganj,SP,1786045,Smt.  Sushila  Saroj                                             ,Uttar Pradesh                                               ,24,0,Post Graduate,28680230,2452429,0.062274431,0.923076923
141,Hamirpur,BSP,1692822,Shri  Anurag Singh  Thakur                                            ,Himachal Pradesh                                            ,24,0,Graduate,24150103,2504550,0.07009585,0.923076923
118,Faridkot,SAD,1147740,Smt.  Paramjit Kaur  Gulshan                                           ,Punjab                                                      ,24,0,Post Graduate,14208609,2185837,0.080777788,0.923076923
43,Bangalore South,BJP,1296549,Shri    Ananth Kumar                                      ,Karnataka                                                   ,24,0,Graduate Professional,12206366,0,0.106219083,0.923076923
155,Indore,BJP,894544,Smt.  Sumitra  Mahajan                                           ,Madhya Pradesh                                              ,24,0,Post Graduate,7974006,4429400,0.112182509,0.923076923
65,Bharatpur,INC,1609457,Shri  Ratan  Singh                                             ,Rajasthan                                                   ,24,0,Graduate Professional,11967191,335314,0.134489121,0.923076923
151,Hooghly,AITC,1210703,Dr.  Ratna  De (Nag)                                          ,West Bengal                                                 ,24,0,Graduate Professional,8730448,0,0.13867593,0.923076923
121,Gadchiroli-Chimur,INC,1673889,Shri  Marotrao  Sainuji   Kowase                                  ,Maharashtra                                                 ,24,0,Graduate,10776756,500000,0.155324014,0.923076923
184,Kancheepuram,INC,947445,Shri  P.  Viswanathan                                       ,Tamil Nadu                                                  ,24,0,Graduate,5685495,2246494,0.166642482,0.923076923
302,Sambalpur,INC,998880,Shri  Amarnath  Pradhan                                           ,Orissa                                                      ,24,0,Graduate,4325000,466494,0.230954913,0.923076923
193,Karimganj,INC,1205529,Shri  Lalit  Mohan  Suklabaidya                                       ,Assam                                                       ,24,0,Post Graduate,4644049,0,0.259585762,0.923076923
67,Bhavnagar,BJP,1443130,Shri  Rajendrasinh  Rana                                              ,Gujarat                                                     ,24,0,Graduate Professional,5508711,0,0.261972356,0.923076923
313,Shimla,BJP,900766,Shri  Virender  Kashyap                                           ,Himachal Pradesh                                            ,24,0,Post Graduate,3434928,0,0.262237229,0.923076923
185,Kandhamal,BJD,1188799,Shri  Rudramadhab  Ray                                               ,Orissa                                                      ,24,0,Graduate,4387647,566588,0.270942261,0.923076923
34,Badaun,SP,1810281,Shri  Dharmendra  Yadav                                             ,Uttar Pradesh                                               ,24,0,Post Graduate,5682299,98000,0.318582496,0.923076923
301,Salempur,BSP,874131,Shri  Ramashankar  Rajbhar                                           ,Uttar Pradesh                                               ,24,0,Graduate,2305000,0,0.379232538,0.923076923
330,Sundargarh,INC,1609358,Shri  Hemanand  Biswal                                            ,Orissa                                                      ,24,0,12th Pass,3965226,0,0.405867913,0.923076923
347,Tiruvallur,ADMK,1281256,Shri  P.  Venugopal                                         ,Tamil Nadu                                                  ,24,0,Graduate Professional,2074236,350000,0.617700204,0.923076923
72,Bhubaneswar,BJD,918837,Shri  Prasanna  Kumar Patasani                                    ,Orissa                                                      ,24,0,Post Graduate,1477178,0,0.622021855,0.923076923
224,Lohardaga,BJP,2106156,Shri  Sudarshan  Bhagat                                            ,Jharkhand                                                   ,24,0,Graduate,3093207,236750,0.680897205,0.923076923
296,Robertsganj,SP,1364551,Shri  Pakauri  Lal                                               ,Uttar Pradesh                                               ,24,0,Literate,1762515,0,0.774206744,0.923076923
44,Bangaon,AITC,2374160,Shri  Gobinda Chandra  Naskar                                            ,West Bengal                                                 ,24,0,Post Graduate,2549515,0,0.931220252,0.923076923
275,Pathanamthitta,INC,1731926,Shri  Anto  Antony                                            ,Kerala                                                      ,24,0,Graduate,1424205,1706713,1.216065103,0.923076923
6,Alathur,CPM,948886,Shri  P. K.  Biju                                              ,Kerala                                                      ,24,0,Post Graduate,461000,0,2.058321041,0.923076923
270,Pali,INC,1309655,Shri  Badri Ram  Jakhar                                            ,Rajasthan                                                   ,24,1,Literate,60243814,498169,0.021739244,0.923076923
148,Hazaribagh,BJP,1689442,Shri  Yashwant  Sinha                                             ,Jharkhand                                                   ,24,1,Post Graduate,36576217,0,0.046189632,0.923076923
169,Jammu,INC,808196,Shri  Madan Lal  Sharma                                            ,Jammu and Kashmir                                           ,24,1,10th Pass,11882734,149750,0.068014314,0.923076923
91,Chittorgarh,INC,1335368,Dr.  Girija  Vyas                                              ,Rajasthan                                                   ,24,1,Doctorate,8721354,0,0.153114757,0.923076923
82,Buxar,RJD,2328022,Shri  Jagada Nand  Singh                                             ,Bihar                                                       ,24,1,Graduate Professional,6565488,12263,0.354584762,0.923076923
258,Nagina,SP,2098107,Shri  Yashvir  Singh                                             ,Uttar Pradesh                                               ,24,1,12th Pass,784562,0,2.674239894,0.923076923
300,Salem,ADMK,783049,Shri  S.  Semmalai                                          ,Tamil Nadu                                                  ,24,2,Graduate Professional,46220339,59000,0.016941654,0.923076923
1,Ahmedabad East,BJP,1342744,Shri  Harin  Pathak                                            ,Gujarat                                                     ,24,2,Post Graduate,14578184,22734,0.092106397,0.923076923
273,Paschim Champaran,BJP,2115647,Dr.  Sanjay  Jaiswal                                           ,Bihar                                                       ,24,2,Post Graduate,10950474,1169173,0.193201408,0.923076923
362,Valsad,INC,1299760,Shri  Kishan V.  Patel                                             ,Gujarat                                                     ,24,2,12th Pass,1520245,0,0.854967456,0.923076923
31,Aurangabad,SHS,668346,Shri  Sushil Kumar  Singh                                             ,Bihar                                                       ,24,4,Post Graduate,20887871,741199,0.031996846,0.923076923
317,Shrawasti,INC,991118,"Dr.  Vinay Kumar  Panday ""Vinnu""                                    ",Uttar Pradesh                                               ,24,4,Doctorate,15743200,589157,0.062955308,0.923076923
198,Keonjhar,BJD,2497207,Shri  Yashbant N.S.  Laguri                                            ,Orissa                                                      ,24,6,Graduate,575000,15000000,4.342968696,0.923076923
30,Aurangabad,SHS,668346,Shri  Sushil Kumar  Singh                                             ,Bihar                                                       ,24,16,12th Pass,14151539,1472122,0.047227796,0.923076923
147,Haveri,BJP,1533635,Shri  Udasi Shivkumar  Chanabasappa                                      ,Karnataka                                                   ,23,0,Graduate,323361935,33833437,0.004742781,0.884615385
70,Bhiwani-Mahendragarh,INC,1270746,Smt.  Shruti  Choudhry                                          ,Haryana                                                     ,23,0,Graduate Professional,167266000,17000000,0.007597157,0.884615385
192,Karauli-Dholpur,INC,1802262,Shri  Khiladi Lal  Bairwa                                            ,Rajasthan                                                   ,23,0,Graduate,62802340,5693479,0.02869737,0.884615385
7,Aligarh,BSP,1017745,Smt.  Raj Kumari  Chauhan                                           ,Uttar Pradesh                                               ,23,0,12th Pass,34034506,0,0.029903328,0.884615385
153,Hoshiarpur,INC,1245461,Smt.  Santosh  Chowdhary                                         ,Punjab                                                      ,23,0,Graduate Professional,26816253,0,0.046444259,0.884615385
107,Dindigul,INC,941188,Shri  N.S.V.  Chitthan                                          ,Tamil Nadu                                                  ,23,0,Graduate,17035764,0,0.055247772,0.884615385
76,Birbhum,AITC,1097610,Smt.  Satabdi  Roy                                               ,West Bengal                                                 ,23,0,12th Pass,13148000,526321,0.083481138,0.884615385
212,Koraput,BJD,692312,Shri  Jayaram  Pangi                                             ,Orissa                                                      ,23,0,10th Pass,6182372,0,0.111981615,0.884615385
335,Tehri Garhwal,INC,1532942,Shri  Vijay  Bahuguna                                          ,Uttarakhand                                                 ,23,0,Graduate Professional,13501773,0,0.113536348,0.884615385
290,Rajsamand,INC,510778,Shri  Gopal  Singh  Shekhawat                                  ,Rajasthan                                                   ,23,0,Graduate Professional,4106255,489648,0.124390229,0.884615385
88,Chhota Udaipur,BJP,1802274,Shri  Ramsinhbhai Patalbhai  Rathwa                                            ,Gujarat                                                     ,23,0,10th Pass,10501785,6624317,0.171615968,0.884615385
71,Bhopal,BJP,1044402,Shri  Kailash  Joshi                                             ,Madhya Pradesh                                              ,23,0,10th Pass,5885927,0,0.177440529,0.884615385
4,Akbarpur,INC,1505179,Shri  Raja Ram  Pal                                               ,Uttar Pradesh                                               ,23,0,Graduate Professional,4400000,838099,0.342086136,0.884615385
207,Kokrajhar,BOPF,2244048,Shri  Sansuma Khunggur  Bwiswmuthiary                                     ,Assam                                                       ,23,0,Graduate,4954903,464860,0.452894436,0.884615385
66,Bharuch,BJP,1535399,Shri  Mansukhbhai Dhanjibhai  Vasava                                            ,Gujarat                                                     ,23,0,Graduate,2441000,833462,0.629004097,0.884615385
255,Nabarangpur,INC,797695,Shri  Pradeep  Majhi                                             ,Orissa                                                      ,23,0,Graduate,850000,345830,0.938464706,0.884615385
79,Bolpur,CPM,1460806,Dr.  Ram Chandra  Dome                                              ,West Bengal                                                 ,23,0,Graduate Professional,739396,0,1.97567474,0.884615385
199,Khadoor Sahib,SAD,1232427,Dr.  Rattan Singh  Ajnala                                            ,Punjab                                                      ,23,1,Graduate Professional,18774102,0,0.065645057,0.884615385
228,Madhepura,JD(U),1589031,Shri  Sharad  Yadav                                             ,Bihar                                                       ,23,1,Graduate Professional,14107050,0,0.112640914,0.884615385
126,Ghaziabad,BJP,1733961,Shri  Rajnath  Singh                                             ,Uttar Pradesh                                               ,23,1,Post Graduate,14902703,0,0.116352114,0.884615385
332,Surat,BJP,1287682,Smt.  Darshana  Jardosh                                           ,Gujarat                                                     ,23,1,Graduate,9021338,395000,0.142737363,0.884615385
115,Etawah,SP,5739096,Shri  Premdas  Katheria                                          ,Uttar Pradesh                                               ,23,1,Graduate,4228828,0,1.357136303,0.884615385
320,Sirsa,INC,1780864,Shri  Ashok  Tanwar                                            ,Haryana                                                     ,23,2,Post Graduate,23664959,0,0.075253205,0.884615385
346,Tiruppur,ADMK,309712,Shri  C.  Sivasami                                          ,Tamil Nadu                                                  ,23,3,Post Graduate,51892954,0,0.005968286,0.884615385
358,Uttara Kannada,BJP,1255616,Shri  Anant Kumar  Hegde                                             ,Karnataka                                                   ,23,3,12th Pass,6427192,3955458,0.195359964,0.884615385
277,Phulpur,BSP,1638746,Shri  Kapil Muni  Karwariya                                         ,Uttar Pradesh                                               ,23,4,Graduate Professional,0,0,#DIV/0!,0.884615385
217,Krishnanagar,AITC,1541300,Shri  Tapas  Paul                                              ,West Bengal                                                 ,23,5,Graduate,9614227,0,0.160314501,0.884615385
247,Mirzapur,SP,1134920,Shri  Bal Kumar  Patel                                             ,Uttar Pradesh                                               ,23,10,12th Pass,22978000,11695272,0.049391592,0.884615385
328,Sriperumbudur,DMK,521150,Shri  T.R.  Baalu                                             ,Tamil Nadu                                                  ,22,0,Graduate,76971478,0,0.00677069,0.846153846
306,Sant Kabir Nagar,BSP,447007,Shri  Bhisma  Shankar Alias Kushal Tiwari                       ,Uttar Pradesh                                               ,22,0,12th Pass,31926944,1125920,0.014000933,0.846153846
87,Chennai South,ADMK,639049,Shri  C.  Rajendran                                         ,Tamil Nadu                                                  ,22,0,Graduate Professional,27966678,0,0.022850372,0.846153846
134,Hamirpur,BJP,1217050,Shri  Vijay Bahadur  Singh                                             ,Uttar Pradesh                                               ,22,0,Graduate Professional,42956873,623689,0.028331904,0.846153846
348,Tiruvannamalai,DMK,1755703,Shri  D.  Venugopal                                         ,Tamil Nadu                                                  ,22,0,Others,57010000,1538546,0.030796404,0.846153846
24,Arunachal West,INC,909291,Shri  Takam  Sanjoy                                            ,Arunachal Pradesh                                           ,22,0,Graduate,24137021,0,0.037672047,0.846153846
138,Hamirpur,BSP,1692822,Shri  Vijay Bahadur  Singh                                             ,Uttar Pradesh                                               ,22,0,Graduate Professional,42956873,623689,0.039407477,0.846153846
57,Barrackpur,AITC,1301967,Shri  Dinesh  Trivedi                                           ,West Bengal                                                 ,22,0,Post Graduate,27203930,0,0.047859519,0.846153846
272,Parbhani,SHS,1358692,Adv.   Ganeshrao  Nagorao Dudhgaonkar                               ,Maharashtra                                                 ,22,0,Graduate Professional,28111720,0,0.04833187,0.846153846
135,Hamirpur,BJP,1217050,Shri  Vijay Bahadur  Singh                                             ,Uttar Pradesh                                               ,22,0,Graduate,24150103,2504550,0.05039523,0.846153846
139,Hamirpur,BSP,1692822,Shri  Vijay Bahadur  Singh                                             ,Uttar Pradesh                                               ,22,0,Graduate,24150103,2504550,0.07009585,0.846153846
99,Deoria,BSP,1986126,Shri  Gorakh Prasad  Jaiswal                                           ,Uttar Pradesh                                               ,22,0,10th Pass,24217040,0,0.082013574,0.846153846
364,Vellore,DMK,1480724,Shri    Abdul Rahman                                      ,Tamil Nadu                                                  ,22,0,Graduate,12547128,3297328,0.118012983,0.846153846
93,Cuddalore,INC,1583087,Shri  S.  Alagiri                                           ,Tamil Nadu                                                  ,22,0,Graduate,11866846,78136525,0.133404192,0.846153846
49,Baramulla,JKN,1781000,Shri  Sharief Ud Din  Shariq                                            ,Jammu and Kashmir                                           ,22,0,Post Graduate,11955000,1310000,0.148975324,0.846153846
292,Ranaghat,AITC,2178194,Dr.  Sucharu Ranjan  Haldar                                            ,West Bengal                                                 ,22,0,Post Graduate,10882896,0,0.20014838,0.846153846
232,Mahasamund,BJP,1388829,Shri  Chandulal Sahu  Chandu Bhaiya  ,Chhattisgarh                                                ,22,0,Graduate Professional,6805000,1300000,0.204089493,0.846153846
187,Kanker,BJP,1714997,Shri  Sohan  Potai                                             ,Chhattisgarh                                                ,22,0,Post Graduate,8261296,0,0.207594184,0.846153846
46,Banswara,INC,1701740,Shri  Tarachand  Bhagora                                           ,Rajasthan                                                   ,22,0,Post Graduate,6518752,1122163,0.261053036,0.846153846
331,Supaul,JD(U),2191979,Shri  Vishwa Mohan  Kumar                                             ,Bihar                                                       ,22,0,Post Graduate,6689616,440179,0.327668883,0.846153846
205,Kishanganj,INC,1634991,Shri  Mohammad Asrarul  Haque                                             ,Bihar                                                       ,22,0,Post Graduate,3646860,0,0.448328425,0.846153846
